minute,webe_count,actigraph_SW,model_pred_SW
2026-05-17 05:02:00,1031.6184788214014,S,S
2026-05-17 05:03:00,55877.841851217454,S,W
2026-05-17 05:04:00,1262.7983662990591,S,S
2026-05-17 05:05:00,1075.2852176406086,S,S
2026-05-17 05:06:00,908.701269804682,S,S
2026-05-17 05:07:00,1534.7090685557414,S,S
2026-05-17 05:08:00,1632.8474243657693,S,S
2026-05-17 05:09:00,1596.139250142376,S,S
2026-05-17 05:10:00,1564.0229835772625,S,S
2026-05-17 05:11:00,1516.6236455666512,S,S
2026-05-17 05:12:00,1523.8930038377805,S,S
2026-05-17 05:13:00,1625.6256482229655,S,S
2026-05-17 05:14:00,1653.7296717791469,S,S
2026-05-17 05:15:00,799331.7709833932,S,W
2026-05-17 05:16:00,1488694.3413782124,S,W
2026-05-17 05:17:00,634017.8134859463,S,W
2026-05-17 05:18:00,4878.868877772431,S,S
2026-05-17 05:19:00,5473.798690677846,S,S
2026-05-17 05:20:00,2374.8786955657924,S,S
2026-05-17 05:21:00,2316.3192454503514,S,S
2026-05-17 05:22:00,2582.654816295122,S,S
2026-05-17 05:23:00,2506.530824186229,S,S
2026-05-17 05:24:00,2415.049037412231,S,S
2026-05-17 05:25:00,397573.9706435996,W,W
2026-05-17 05:26:00,1753542.2412349037,W,W
2026-05-17 05:27:00,4526004.419653006,W,W
2026-05-17 05:28:00,5169208.759655924,W,W
2026-05-17 05:29:00,2451.795772374753,W,S
2026-05-17 05:30:00,57579.97257058727,W,W
2026-05-17 05:31:00,2365.395667921286,W,S
2026-05-17 05:32:00,2491.088168358925,W,S
2026-05-17 05:33:00,2798.8164143276954,S,S
2026-05-17 05:34:00,2700.4698606943566,S,S
2026-05-17 05:35:00,112599.1347861762,S,W
2026-05-17 05:36:00,2608.5240805642825,S,S
2026-05-17 05:37:00,2614.1623331195296,S,S
2026-05-17 05:38:00,2388.148413804389,S,S
2026-05-17 05:39:00,2470.285790699621,S,S
2026-05-17 05:40:00,57648.14526850107,S,W
2026-05-17 05:41:00,87191.95304668945,S,W
2026-05-17 05:42:00,2390.743514265094,S,S
2026-05-17 05:43:00,36411.92614150997,S,W
2026-05-17 05:44:00,2405.3199239889,S,S
2026-05-17 05:45:00,2047.7901661205324,S,S
2026-05-17 05:46:00,1739.4357640894668,S,S
2026-05-17 05:47:00,1424.398169174965,S,S
2026-05-17 05:48:00,1292.1827721110676,W,S
2026-05-17 05:49:00,1499522.1727034964,W,W
2026-05-17 05:50:00,4431568.939631251,W,W
2026-05-17 05:51:00,1394.2879794368273,W,S
2026-05-17 05:52:00,1250.8222554803797,W,S
2026-05-17 05:53:00,1719.0918818069476,W,S
2026-05-17 05:54:00,1487.6720523104814,W,S
